6	"present"	local:AM-LOC	"paper"
6	"present"	vn.role:Agent	"we"
6	"present"	local:AM-TMP	"briefly"
6	"present"	vn.role:Theme	"benchmarking"
7	"used"	vn.role:Theme	"benchmarking"
7	"ontology development"	rdfs:member	"ontology development tools"
7	"development"	rdfs:member	"development tools"
7	"ontology development"	rdfs:subClassOf	"development"
7	"development tools"	rdfs:subClassOf	"tools"
7	"ontology development tools"	rdfs:subClassOf	"tools"
7	"ontology"	rdfs:member	"ontology development"
7	"ontology development tools"	rdfs:subClassOf	"development tools"
7	"scalability of ontology development tools"	local:of_ontologydevelopmenttools	"scalability"
7	"scalability of ontology development tools"	local:scalability_of	"ontology development tools"
7	"used"	vn.role:Recipient	"improve"
7	"improve"	vn.role:Agent	"benchmarking"
7	"ontology development"	rdfs:member	"ontology development tools"
7	"development"	rdfs:member	"development tools"
7	"ontology development"	rdfs:subClassOf	"development"
7	"development tools"	rdfs:subClassOf	"tools"
7	"ontology development tools"	rdfs:subClassOf	"tools"
7	"ontology"	rdfs:member	"ontology development"
7	"ontology development tools"	rdfs:subClassOf	"development tools"
7	"scalability of ontology development tools"	local:of_ontologydevelopmenttools	"scalability"
7	"scalability of ontology development tools"	local:scalability_of	"ontology development tools"
7	"improve"	vn.role:Patient	"scalability of ontology development tools"
8	"used"	vn.role:Theme	"benchmarking"
8	"improve"	vn.role:Agent	"benchmarking"
8	"improve"	vn.role:Patient	"performance"
9	"focus"	vn.role:Experiencer	"we"
9	"definition of infrastructure"	local:of_infrastructure	"definition"
9	"definition of infrastructure"	local:definition_of	"infrastructure"
9	"focus"	vn.role:indirect_object	"definition of infrastructure"
9	"ontology management"	rdfs:subClassOf	"management"
9	"management"	rdfs:member	"management apis"
9	"execution efficiency"	rdfs:subClassOf	"efficiency"
9	"scalability"	rdfs:member	"scalability execution"
9	"scalability ontology management"	rdfs:member	"scalability ontology management apis"
9	"scalability execution"	rdfs:member	"scalability execution efficiency"
9	"scalability ontology management"	rdfs:subClassOf	"management"
9	"ontology"	rdfs:member	"ontology management"
9	"ontology management"	rdfs:member	"ontology management apis"
9	"execution"	rdfs:member	"execution efficiency"
9	"scalability ontology"	rdfs:member	"scalability ontology management"
9	"ontology management apis"	rdfs:subClassOf	"apis"
9	"scalability execution efficiency"	rdfs:subClassOf	"efficiency"
9	"management apis"	rdfs:subClassOf	"apis"
9	"scalability ontology"	rdfs:subClassOf	"ontology"
9	"scalability"	rdfs:member	"scalability ontology"
9	"scalability ontology management apis"	rdfs:subClassOf	"apis"
9	"scalability execution"	rdfs:subClassOf	"execution"
9	"scalability execution efficiency"	rdfs:subClassOf	"execution efficiency"
9	"ontology management apis"	rdfs:subClassOf	"management apis"
9	"scalability ontology management apis"	rdfs:subClassOf	"ontology management apis"
9	"evaluating in terms"	local:in_terms	"evaluating"
9	"evaluating in terms"	local:evaluating_in	"terms"
9	"terms of scalability execution efficiency"	local:of_scalabilityexecutionefficiency	"terms"
9	"terms of scalability execution efficiency"	local:terms_of	"scalability execution efficiency"
9	"focus"	local:AM-PNC	"evaluating in terms"
9	"evaluating"	vn.role:Agent	"we"
9	"ontology management"	rdfs:subClassOf	"management"
9	"management"	rdfs:member	"management apis"
9	"execution efficiency"	rdfs:subClassOf	"efficiency"
9	"scalability"	rdfs:member	"scalability execution"
9	"scalability ontology management"	rdfs:member	"scalability ontology management apis"
9	"scalability execution"	rdfs:member	"scalability execution efficiency"
9	"scalability ontology management"	rdfs:subClassOf	"management"
9	"ontology"	rdfs:member	"ontology management"
9	"ontology management"	rdfs:member	"ontology management apis"
9	"execution"	rdfs:member	"execution efficiency"
9	"scalability ontology"	rdfs:member	"scalability ontology management"
9	"ontology management apis"	rdfs:subClassOf	"apis"
9	"scalability execution efficiency"	rdfs:subClassOf	"efficiency"
9	"management apis"	rdfs:subClassOf	"apis"
9	"scalability ontology"	rdfs:subClassOf	"ontology"
9	"scalability"	rdfs:member	"scalability ontology"
9	"scalability ontology management apis"	rdfs:subClassOf	"apis"
9	"scalability execution"	rdfs:subClassOf	"execution"
9	"scalability execution efficiency"	rdfs:subClassOf	"execution efficiency"
9	"ontology management apis"	rdfs:subClassOf	"management apis"
9	"scalability ontology management apis"	rdfs:subClassOf	"ontology management apis"
9	"scalability ontology management apis in terms"	local:in_terms	"scalability ontology management apis"
9	"scalability ontology management apis in terms"	local:scalabilityontologymanagementapis_in	"terms"
9	"terms of scalability execution efficiency"	local:of_scalabilityexecutionefficiency	"terms"
9	"terms of scalability execution efficiency"	local:terms_of	"scalability execution efficiency"
9	"evaluating"	vn.role:Theme	"scalability ontology management apis in terms"
10	"focus"	vn.role:Experiencer	"we"
10	"definition of infrastructure"	local:of_infrastructure	"definition"
10	"definition of infrastructure"	local:definition_of	"infrastructure"
10	"focus"	vn.role:indirect_object	"definition of infrastructure"
10	"tools"	rdfs:member	"tools performance"
10	"tools performance"	rdfs:subClassOf	"performance"
10	"ontology"	rdfs:member	"ontology tools"
10	"ontology tools"	rdfs:subClassOf	"tools"
10	"ontology tools"	rdfs:member	"ontology tools performance"
10	"ontology tools performance"	rdfs:subClassOf	"performance"
10	"ontology tools performance"	rdfs:subClassOf	"tools performance"
10	"performance of ontology tools performance"	local:of_ontologytoolsperformance	"performance"
10	"performance of ontology tools performance"	local:performance_of	"ontology tools performance"
10	"focus"	local:AM-PNC	"evaluating"
10	"evaluating"	vn.role:Agent	"we"
10	"tools"	rdfs:member	"tools performance"
10	"tools performance"	rdfs:subClassOf	"performance"
10	"ontology"	rdfs:member	"ontology tools"
10	"ontology tools"	rdfs:subClassOf	"tools"
10	"ontology tools"	rdfs:member	"ontology tools performance"
10	"ontology tools performance"	rdfs:subClassOf	"performance"
10	"ontology tools performance"	rdfs:subClassOf	"tools performance"
10	"performance of ontology tools performance"	local:of_ontologytoolsperformance	"performance"
10	"performance of ontology tools performance"	local:performance_of	"ontology tools performance"
10	"evaluating"	vn.role:Theme	"performance of ontology tools performance"
11	"focus"	vn.role:Experiencer	"we"
11	"definition of infrastructure"	local:of_infrastructure	"definition"
11	"definition of infrastructure"	local:definition_of	"infrastructure"
11	"focus"	vn.role:indirect_object	"definition of infrastructure"
11	"ontology management"	rdfs:subClassOf	"management"
11	"management"	rdfs:member	"management apis"
11	"scalability ontology management"	rdfs:member	"scalability ontology management apis"
11	"scalability ontology management"	rdfs:subClassOf	"management"
11	"ontology"	rdfs:member	"ontology management"
11	"ontology management"	rdfs:member	"ontology management apis"
11	"tools performance"	rdfs:subClassOf	"performance"
11	"tools"	rdfs:member	"tools performance"
11	"scalability ontology"	rdfs:member	"scalability ontology management"
11	"ontology management apis"	rdfs:subClassOf	"apis"
11	"ontology tools performance"	rdfs:subClassOf	"performance"
11	"ontology tools"	rdfs:subClassOf	"tools"
11	"management apis"	rdfs:subClassOf	"apis"
11	"ontology"	rdfs:member	"ontology tools"
11	"scalability ontology"	rdfs:subClassOf	"ontology"
11	"ontology tools"	rdfs:member	"ontology tools performance"
11	"scalability"	rdfs:member	"scalability ontology"
11	"scalability ontology management apis"	rdfs:subClassOf	"apis"
11	"ontology tools performance"	rdfs:subClassOf	"tools performance"
11	"ontology management apis"	rdfs:subClassOf	"management apis"
11	"scalability ontology management apis"	rdfs:subClassOf	"ontology management apis"
11	"evaluating in terms"	local:in_terms	"evaluating"
11	"evaluating in terms"	local:evaluating_in	"terms"
11	"terms of ontology tools performance"	local:of_ontologytoolsperformance	"terms"
11	"terms of ontology tools performance"	local:terms_of	"ontology tools performance"
11	"focus"	local:AM-PNC	"evaluating in terms"
11	"evaluating"	vn.role:Agent	"we"
11	"ontology management"	rdfs:subClassOf	"management"
11	"management"	rdfs:member	"management apis"
11	"scalability ontology management"	rdfs:member	"scalability ontology management apis"
11	"scalability ontology management"	rdfs:subClassOf	"management"
11	"ontology"	rdfs:member	"ontology management"
11	"ontology management"	rdfs:member	"ontology management apis"
11	"tools performance"	rdfs:subClassOf	"performance"
11	"tools"	rdfs:member	"tools performance"
11	"scalability ontology"	rdfs:member	"scalability ontology management"
11	"ontology management apis"	rdfs:subClassOf	"apis"
11	"ontology tools performance"	rdfs:subClassOf	"performance"
11	"ontology tools"	rdfs:subClassOf	"tools"
11	"management apis"	rdfs:subClassOf	"apis"
11	"ontology"	rdfs:member	"ontology tools"
11	"scalability ontology"	rdfs:subClassOf	"ontology"
11	"ontology tools"	rdfs:member	"ontology tools performance"
11	"scalability"	rdfs:member	"scalability ontology"
11	"scalability ontology management apis"	rdfs:subClassOf	"apis"
11	"ontology tools performance"	rdfs:subClassOf	"tools performance"
11	"ontology management apis"	rdfs:subClassOf	"management apis"
11	"scalability ontology management apis"	rdfs:subClassOf	"ontology management apis"
11	"scalability ontology management apis in terms"	local:in_terms	"scalability ontology management apis"
11	"scalability ontology management apis in terms"	local:scalabilityontologymanagementapis_in	"terms"
11	"terms of ontology tools performance"	local:of_ontologytoolsperformance	"terms"
11	"terms of ontology tools performance"	local:terms_of	"ontology tools performance"
11	"evaluating"	vn.role:Theme	"scalability ontology management apis in terms"
12	"used"	vn.role:Theme	"benchmarking"
12	"webode ontology"	rdfs:member	"webode ontology engineering"
12	"ontology engineering workbench"	rdfs:subClassOf	"workbench"
12	"ontology development"	rdfs:member	"ontology development tools"
12	"engineering"	rdfs:member	"engineering workbench"
12	"ontology engineering"	rdfs:member	"ontology engineering workbench"
12	"ontology development"	rdfs:subClassOf	"development"
12	"development"	rdfs:member	"development tools"
