0	"present"	local:AM-LOC	"paper"
0	"present"	vn.role:Agent	"we"
0	"conceptual"	rdfs:member	"conceptual architecture"
0	"abstract conceptual"	rdfs:member	"abstract conceptual architecture"
0	"abstract conceptual"	rdfs:subClassOf	"conceptual"
0	"abstract conceptual architecture"	rdfs:subClassOf	"architecture"
0	"conceptual architecture"	rdfs:subClassOf	"architecture"
0	"abstract"	rdfs:member	"abstract conceptual"
0	"abstract conceptual architecture"	rdfs:subClassOf	"conceptual architecture"
0	"present"	vn.role:Theme	"abstract conceptual architecture"
0	"web services"	rdfs:subClassOf	"services"
0	"semantic web"	rdfs:member	"semantic web services"
0	"semantic web"	rdfs:subClassOf	"web"
0	"semantic"	rdfs:member	"semantic web"
0	"semantic web services"	rdfs:subClassOf	"services"
0	"web"	rdfs:member	"web services"
0	"semantic web services"	rdfs:subClassOf	"web services"
0	"present"	local:AM-PNC	"semantic web services"
1	"define"	vn.role:Agent	"we"
1	"conceptual"	rdfs:member	"conceptual architecture"
1	"abstract conceptual"	rdfs:member	"abstract conceptual architecture"
1	"abstract conceptual"	rdfs:subClassOf	"conceptual"
1	"abstract conceptual architecture"	rdfs:subClassOf	"architecture"
1	"conceptual architecture"	rdfs:subClassOf	"architecture"
1	"abstract"	rdfs:member	"abstract conceptual"
1	"abstract conceptual architecture"	rdfs:subClassOf	"conceptual architecture"
1	"requirements on abstract conceptual architecture"	local:on_abstractconceptualarchitecture	"requirements"
1	"requirements on abstract conceptual architecture"	local:requirements_on	"abstract conceptual architecture"
1	"define"	vn.role:Theme	"requirements on abstract conceptual architecture"
1	"web services"	rdfs:subClassOf	"services"
1	"semantic"	rdfs:member	"semantic web"
1	"semantic web services"	rdfs:subClassOf	"services"
1	"services"	rdfs:member	"services project"
1	"eu semantic web-enabled"	rdfs:member	"eu semantic web-enabled web"
1	"semantic"	rdfs:member	"semantic web-enabled"
1	"eu semantic web-enabled web services project"	rdfs:subClassOf	"project"
1	"case studies"	rdfs:subClassOf	"studies"
1	"eu semantic web-enabled web"	rdfs:subClassOf	"web"
1	"semantic web-enabled web"	rdfs:member	"semantic web-enabled web services"
1	"eu"	rdfs:member	"eu semantic"
1	"semantic web"	rdfs:member	"semantic web services"
1	"web-enabled web services project"	rdfs:subClassOf	"project"
1	"web services"	rdfs:member	"web services project"
1	"semantic web-enabled"	rdfs:subClassOf	"web-enabled"
1	"services project"	rdfs:subClassOf	"project"
1	"semantic web-enabled web"	rdfs:subClassOf	"web"
1	"web-enabled web"	rdfs:member	"web-enabled web services"
1	"web"	rdfs:member	"web services"
1	"eu semantic web-enabled web services"	rdfs:member	"eu semantic web-enabled web services project"
1	"eu semantic"	rdfs:subClassOf	"semantic"
1	"case"	rdfs:member	"case studies"
1	"web-enabled web services"	rdfs:subClassOf	"services"
1	"web services project"	rdfs:subClassOf	"project"
1	"semantic web"	rdfs:subClassOf	"web"
1	"eu semantic web-enabled web"	rdfs:member	"eu semantic web-enabled web services"
1	"semantic web-enabled web services"	rdfs:subClassOf	"services"
1	"web-enabled web services"	rdfs:member	"web-enabled web services project"
1	"web-enabled web"	rdfs:subClassOf	"web"
1	"semantic web-enabled"	rdfs:member	"semantic web-enabled web"
1	"semantic web-enabled web services"	rdfs:member	"semantic web-enabled web services project"
1	"semantic web-enabled web services project"	rdfs:subClassOf	"project"
1	"eu semantic web-enabled web services"	rdfs:subClassOf	"services"
1	"eu semantic web-enabled"	rdfs:subClassOf	"web-enabled"
1	"web-enabled"	rdfs:member	"web-enabled web"
1	"eu semantic"	rdfs:member	"eu semantic web-enabled"
1	"web services project"	rdfs:subClassOf	"services project"
1	"web-enabled web services project"	rdfs:subClassOf	"web services project"
1	"semantic web-enabled web services project"	rdfs:subClassOf	"web-enabled web services project"
1	"eu semantic web-enabled web services project"	rdfs:subClassOf	"semantic web-enabled web services project"
1	"semantic web services"	rdfs:subClassOf	"web services"
1	"set of case studies"	local:of_casestudies	"set"
1	"set of case studies"	local:set_of	"case studies"
1	"developed as part"	local:as_part	"developed"
1	"developed as part"	local:developed_as	"part"
1	"part of eu semantic web-enabled web services project"	local:of_eusemanticweb-enabledwebservicesproject	"part"
1	"part of eu semantic web-enabled web services project"	local:part_of	"eu semantic web-enabled web services project"
1	"define"	local:AM-PNC	"developed as part"
1	"web services"	rdfs:subClassOf	"services"
1	"services"	rdfs:member	"services project"
1	"eu semantic web-enabled"	rdfs:member	"eu semantic web-enabled web"
1	"semantic"	rdfs:member	"semantic web-enabled"
1	"eu semantic web-enabled web services project"	rdfs:subClassOf	"project"
1	"case studies"	rdfs:subClassOf	"studies"
1	"eu semantic web-enabled web"	rdfs:subClassOf	"web"
1	"semantic web-enabled web"	rdfs:member	"semantic web-enabled web services"
1	"eu"	rdfs:member	"eu semantic"
1	"web-enabled web services project"	rdfs:subClassOf	"project"
1	"web services"	rdfs:member	"web services project"
1	"semantic web-enabled"	rdfs:subClassOf	"web-enabled"
1	"services project"	rdfs:subClassOf	"project"
1	"semantic web-enabled web"	rdfs:subClassOf	"web"
1	"web-enabled web"	rdfs:member	"web-enabled web services"
1	"web"	rdfs:member	"web services"
1	"eu semantic web-enabled web services"	rdfs:member	"eu semantic web-enabled web services project"
1	"eu semantic"	rdfs:subClassOf	"semantic"
1	"case"	rdfs:member	"case studies"
1	"web-enabled web services"	rdfs:subClassOf	"services"
