0	"recent developments"	rdfs:subClassOf	"developments"
0	"recent"	rdfs:member	"recent developments"
0	"recent developments in hardware"	local:in_hardware	"recent developments"
0	"recent developments in hardware"	local:recentdevelopments_in	"hardware"
0	"shown"	vn.role:Agent	"recent developments in hardware"
0	"clock rates"	rdfs:subClassOf	"rates"
0	"increase in parallelism"	local:in_parallelism	"increase"
0	"increase in parallelism"	local:increase_in	"parallelism"
0	"opposed to clock rates"	local:to_clockrates	"opposed"
0	"opposed to clock rates"	local:opposed_to	"clock rates"
0	"shown"	vn.role:Theme	"increase in parallelism"
0	"clock rates"	rdfs:subClassOf	"rates"
0	"clock"	rdfs:member	"clock rates"
0	"opposed"	vn.role:Patient	"clock rates"
1	"allows"	vn.role:Agent	"way"
1	"fine-grained parallelism"	rdfs:subClassOf	"parallelism"
1	"fine-grained"	rdfs:member	"fine-grained parallelism"
1	"allows"	vn.role:Theme	"fine-grained parallelism"
2	"exploit"	local:AM-MNR	"fully"
2	"expensive"	rdfs:member	"expensive workloads"
2	"new avenues"	rdfs:subClassOf	"avenues"
2	"computationally"	rdfs:member	"computationally expensive"
2	"computationally expensive"	rdfs:member	"computationally expensive workloads"
2	"computationally expensive workloads"	rdfs:subClassOf	"workloads"
2	"expensive workloads"	rdfs:subClassOf	"workloads"
2	"new"	rdfs:member	"new avenues"
2	"performance"	rdfs:member	"performance improvement"
2	"performance improvement"	rdfs:subClassOf	"improvement"
2	"computationally expensive"	rdfs:subClassOf	"expensive"
2	"new avenues of performance improvement"	local:of_performanceimprovement	"new avenues"
2	"new avenues of performance improvement"	local:newavenues_of	"performance improvement"
2	"new avenues of performance improvement expensive workloads"	local:_expensiveworkloads	"new avenues of performance improvement"
2	"new avenues of performance improvement expensive workloads"	local:newavenuesofperformanceimprovement_	"expensive workloads"
2	"exploit"	vn.role:Predicate	"new avenues of performance improvement expensive workloads"
2	"expensive"	rdfs:member	"expensive workloads"
2	"new avenues"	rdfs:subClassOf	"avenues"
2	"computationally"	rdfs:member	"computationally expensive"
2	"computationally expensive"	rdfs:member	"computationally expensive workloads"
2	"computationally expensive workloads"	rdfs:subClassOf	"workloads"
2	"expensive workloads"	rdfs:subClassOf	"workloads"
2	"new"	rdfs:member	"new avenues"
2	"performance"	rdfs:member	"performance improvement"
2	"performance improvement"	rdfs:subClassOf	"improvement"
2	"computationally expensive"	rdfs:subClassOf	"expensive"
2	"new avenues of performance improvement"	local:of_performanceimprovement	"new avenues"
2	"new avenues of performance improvement"	local:newavenues_of	"performance improvement"
