0	"growing field"	rdfs:subClassOf	"field"
0	"purposes biosensors"	rdfs:subClassOf	"biosensors"
0	"medical purposes"	rdfs:subClassOf	"purposes"
0	"biosensors development"	rdfs:subClassOf	"development"
0	"growing"	vn.role:Location	"field."
1	"fluids disease"	rdfs:subClassOf	"disease"
1	"body fluids"	rdfs:subClassOf	"fluids"
1	"disease detection"	rdfs:subClassOf	"detection"
1	"Alzheimer disease"	rdfs:subClassOf	"disease"
1	"detection immuno-infrared-biosensor"	rdfs:subClassOf	"immuno-infrared-biosensor"
1	"preclinical detection"	rdfs:subClassOf	"detection"
2	"fluid catch"	rdfs:subClassOf	"catch"
2	"body fluid"	rdfs:subClassOf	"fluid"
2	"surface ATR-crystals"	rdfs:subClassOf	"ATR-crystals"
2	"modified surface"	rdfs:subClassOf	"surface"
2	"sensors element"	rdfs:subClassOf	"element"
2	"key sensors element"	rdfs:subClassOf	"sensors element"
2	"modified"	vn.role:Patient	"surface"
2	"catch"	vn.role:Agent	"key element of this sensors an ATR-crystals"
2	"catch"	vn.role:Theme	"biomarker"
2	"catch"	vn.role:Source	"of the body fluid."
3	"once used"	rdfs:subClassOf	"used"
3	"only once"	rdfs:subClassOf	"once"
3	"can used"	rdfs:subClassOf	"used"
3	"immuno-infrared sensor"	rdfs:subClassOf	"sensor"
3	"far used"	rdfs:subClassOf	"used"
3	"So far"	rdfs:subClassOf	"far"
3	"can used"	local:AM-MNR	"once."
3	"can used"	vn.role:Theme	"far, the immuno-infrared sensor"
4	"cleaning steps"	rdfs:subClassOf	"steps"
4	"sensor cleaning"	rdfs:subClassOf	"cleaning"
4	"time-consuming steps"	rdfs:subClassOf	"steps"
4	"can require"	rdfs:subClassOf	"require"
4	"immuno-infrared sensor"	rdfs:subClassOf	"sensor"
4	"far require"	rdfs:subClassOf	"require"
4	"So far"	rdfs:subClassOf	"far"
4	"can require"	vn.role:Agent	"far, the immuno-infrared sensor"
4	"can require"	vn.role:Patient	"time-consuming steps of sensor cleaning."
5	"functionalization steps"	rdfs:subClassOf	"steps"
5	"surface functionalization"	rdfs:subClassOf	"functionalization"
5	"novel surface functionalization"	rdfs:subClassOf	"surface functionalization"
5	"time-consuming steps"	rdfs:subClassOf	"steps"
5	"can require"	rdfs:subClassOf	"require"
5	"immuno-infrared sensor"	rdfs:subClassOf	"sensor"
5	"far require"	rdfs:subClassOf	"require"
5	"So far"	rdfs:subClassOf	"far"
5	"can require"	vn.role:Agent	"far, the immuno-infrared sensor"
5	"can require"	vn.role:Patient	"time-consuming steps of novel surface functionalization."
6	"once used"	rdfs:subClassOf	"used"
6	"only once"	rdfs:subClassOf	"once"
6	"can used"	rdfs:subClassOf	"used"
6	"immuno-infrared sensor"	rdfs:subClassOf	"sensor"
6	"far used"	rdfs:subClassOf	"used"
6	"So far"	rdfs:subClassOf	"far"
6	"can used"	local:AM-MNR	"once."
6	"can used"	vn.role:Theme	"far, the immuno-infrared sensor"
7	"once used"	rdfs:subClassOf	"used"
7	"only once"	rdfs:subClassOf	"once"
7	"can used"	rdfs:subClassOf	"used"
7	"immuno-infrared sensor"	rdfs:subClassOf	"sensor"
7	"far used"	rdfs:subClassOf	"used"
7	"So far"	rdfs:subClassOf	"far"
7	"can used"	local:AM-MNR	"once."
7	"can used"	vn.role:Theme	"far, the immuno-infrared sensor"
8	"exchange steps"	rdfs:subClassOf	"steps"
8	"sensor exchange"	rdfs:subClassOf	"exchange"
8	"time-consuming steps"	rdfs:subClassOf	"steps"
8	"can require"	rdfs:subClassOf	"require"
8	"immuno-infrared sensor"	rdfs:subClassOf	"sensor"
8	"far require"	rdfs:subClassOf	"require"
8	"So far"	rdfs:subClassOf	"far"
8	"can require"	vn.role:Agent	"far, the immuno-infrared sensor"
8	"can require"	vn.role:Patient	"time-consuming steps of sensor exchange."
9	"CSF detection"	rdfs:subClassOf	"detection"
9	"human CSF"	rdfs:subClassOf	"CSF"
9	"proteins detection"	rdfs:subClassOf	"detection"
9	"biomarker proteins"	rdfs:subClassOf	"proteins"
9	"disease biomarker proteins"	rdfs:subClassOf	"biomarker proteins"
9	"Alzheimer disease biomarker proteins"	rdfs:subClassOf	"disease biomarker proteins"
9	"detection providing"	rdfs:subClassOf	"providing"
9	"performance Tau"	rdfs:subClassOf	"Tau"
9	"CSF performance"	rdfs:subClassOf	"performance"
9	"human CSF performance"	rdfs:subClassOf	"CSF performance"
9	"Tau providing"	rdfs:subClassOf	"providing"
9	"its performance"	rdfs:subClassOf	"performance"
9	"showcase its performance"	rdfs:subClassOf	"its performance"
9	"reusable surface"	rdfs:subClassOf	"surface"
9	"reusable reusable surface"	rdfs:subClassOf	"reusable surface"
9	"Here developed"	rdfs:subClassOf	"developed"
9	"developed"	vn.role:Location	"an immuno-infrared-sensor providing a reusable surface"
9	"providing"	vn.role:Recipient	"immuno-infrared-sensor an immuno-infrared-sensor"
9	"providing"	vn.role:Agent	"reusable surface a reusable surface"
9	"showcase"	vn.role:Agent	"we an an immuno-infrared-sensor immuno-infrared-sensor an immuno-infrared-sensor"
9	"showcase"	vn.role:Theme	"immuno-infrared-sensor providing a reusable surface its performance by Tau in human CSF performance by the detection of the Alzheimer's disease biomarker proteins Amyloid-beta and Tau in human CSF."
10	"CSF proteins"	rdfs:subClassOf	"proteins"
10	"human CSF"	rdfs:subClassOf	"CSF"
10	"proteins detection"	rdfs:subClassOf	"detection"
10	"biomarker proteins"	rdfs:subClassOf	"proteins"
10	"disease biomarker proteins"	rdfs:subClassOf	"biomarker proteins"
10	"Alzheimer disease biomarker proteins"	rdfs:subClassOf	"disease biomarker proteins"
10	"detection Amyloid-beta"	rdfs:subClassOf	"Amyloid-beta"
10	"Amyloid-beta proteins"	rdfs:subClassOf	"proteins"
10	"proteins detection"	rdfs:subClassOf	"detection"
10	"biomarker proteins"	rdfs:subClassOf	"proteins"
10	"disease biomarker proteins"	rdfs:subClassOf	"biomarker proteins"
10	"Alzheimer disease biomarker proteins"	rdfs:subClassOf	"disease biomarker proteins"
10	"detection providing"	rdfs:subClassOf	"providing"
10	"its performance"	rdfs:subClassOf	"performance"
10	"reusable surface"	rdfs:subClassOf	"surface"
10	"reusable reusable surface"	rdfs:subClassOf	"reusable surface"
10	"Here developed"	rdfs:subClassOf	"developed"
10	"developed"	vn.role:Location	"an immuno-infrared-sensor providing a reusable surface"
10	"providing"	vn.role:Recipient	"immuno-infrared-sensor an immuno-infrared-sensor"
10	"providing"	vn.role:Agent	"reusable surface a reusable surface"
10	"showcase"	vn.role:Agent	"we an an immuno-infrared-sensor immuno-infrared-sensor an immuno-infrared-sensor"
10	"showcase"	vn.role:Theme	"immuno-infrared-sensor providing a reusable surface its performance by the detection of the Alzheimer's disease biomarker proteins Amyloid-beta by the detection of the Alzheimer's disease biomarker proteins Amyloid-beta and Tau in human CSF."
11	"G. coated"	rdfs:subClassOf	"coated"
11	"Protein G."	rdfs:subClassOf	"G."
11	"binding Protein G."	rdfs:subClassOf	"Protein G."
